station_id,station_name,coord1_name,coord2_name,latitude_1,longitude_1,latitude_2,longitude_2,distance_meters,distance_km
C2H9D0,三隻寮,,,24.094845,120.853424,24.093078,120.861578,850.6919228576729,0.8506919228576729
C2H9E0,國姓南港,,,23.912878,120.838415,23.911108,120.846556,850.6230085996132,0.8506230085996132
C2H9F0,柑林,,,24.020426,120.838924,24.018658,120.847072,850.5917789285156,0.8505917789285157
C2H9G0,百勝,,,24.052912,120.90121,24.051142,120.909361,850.7360122816568,0.8507360122816569
C2M930,石卓,,,23.480516,120.694154,23.478744,120.702264,850.2694557044488,0.8502694557044488
C2M940,日野賀,,,23.435829,120.719062,23.434056,120.727169,850.26985102265,0.85026985102265
C2M950,太和,,,23.540143,120.694847,23.538372,120.702961,850.2761906453238,0.8502761906453238
C2K630,荷苞,,,23.65948,120.587023,23.657717,120.595144,850.0322856957263,0.8500322856957263
C2H9H0,苗改南投蜂場,,,23.854353,120.685345,23.852589,120.693481,850.338364194142,0.850338364194142
C2G9A0,畜試所彰化,,,23.862208,120.549828,23.86045,120.557964,850.1358767051166,0.8501358767051166
C2E970,八甲,,,24.537566,120.787798,24.535811,120.795983,850.6290260783688,0.8506290260783689
C2H9J0,中台,,,24.001373,120.930591,23.9996,120.938739,850.8397206275097,0.8508397206275097
C2H9L0,馬烈霸,,,24.152982,121.193613,24.1512,121.201772,851.206450576779,0.851206450576779
C2H9M0,發祥,,,24.155875,121.156357,24.154094,121.164517,851.2610147002351,0.8512610147002352
C2H9N0,仁愛東眼,,,24.028656,121.112349,24.026875,121.1205,851.1718678724422,0.8511718678724423
C2H9P0,伊拿谷,,,23.964991,121.080118,23.963211,121.088264,851.0502114260694,0.8510502114260694
C2H9Q0,北東眼山,,,24.122721,121.181145,24.120939,121.189303,851.2983094354977,0.8512983094354977
C2H9R0,卓社,,,23.889672,120.991946,23.887894,121.000086,850.8748890413652,0.8508748890413652
C2H9S0,龍南,,,23.955305,120.825039,23.953536,120.833183,850.6293148720986,0.8506293148720986
C2R970,屏科大,,,22.65006,120.611193,22.648275,120.619247,849.9968533083147,0.8499968533083148
C2H9T0,名間竹圍,,,23.861675,120.629436,23.859914,120.637572,850.2159655483738,0.8502159655483738
C2H9U0,鳳鵬,,,23.76569,120.779931,23.763919,120.788061,850.474056839665,0.8504740568396649
CAF010,國一N174K,,,24.206657,120.647035,24.2049,120.6552,850.8169909067892,0.8508169909067892
CAG010,國一N198K,,,24.065639,120.514899,24.063889,120.523056,850.7373367116181,0.8507373367116181
CAJ020,國一N234K,,,23.748078,120.459788,23.74633,120.467926,850.7871093867222,0.8507871093867222
CAL010,國一N250K,,,23.612038,120.428737,23.610292,120.436867,850.7828653562552,0.8507828653562552
CAD010,國一S105K,,,24.728088,120.932448,24.726316,120.940643,850.8201968350987,0.8508201968350987
CAE020,國一S114K,,,24.670593,120.877616,24.668836,120.885811,850.8072951524111,0.8508072951524112
CAE030,國一S123K,,,24.597708,120.852523,24.59594,120.86071,850.77215748377,0.85077215748377
CAE040,國一S132K,,,24.526272,120.812648,24.524506,120.820831,850.7861134254775,0.8507861134254775
CAE050,國一S152K,,,24.377254,120.74101,24.375492,120.749184,850.7497228309818,0.8507497228309818
CAF020,國一S162K,,,24.297293,120.687806,24.295534,120.695976,850.7871449006091,0.850787144900609
CAF030,國一S169K,,,24.238875,120.680105,24.237116,120.688271,850.7629243897459,0.8507629243897459
CAF040,國一S188K,,,24.120299,120.577587,24.118546,120.585747,850.7662521269239,0.8507662521269238
CAG030,國一S207K,,,23.990053,120.499939,23.988304,120.508092,850.7906043469171,0.8507906043469171
CAE060,國三N119K,,,24.677199,120.839196,24.675432,120.847389,850.8240576140699,0.85082405761407
CAE070,國三N151K,,,24.441976,120.673477,24.440218,120.681656,850.7270678047922,0.8507270678047922
CAG040,國三N191K,,,24.141006,120.513338,24.139256,120.5215,850.7569341443303,0.8507569341443303
CAG050,國三N196K,,,24.108907,120.546322,24.107155,120.554482,850.8125259135296,0.8508125259135296
CAF050,國三N208K,,,24.067905,120.652763,24.066147,120.660919,850.8282236897471,0.8508282236897471
CAE560,國一S144K,,,24.438818,120.770016,24.437042,120.778219,853.5729226378755,0.8535729226378755
CAF950,國一N158K,,,24.334121,120.708967,24.332372,120.717144,850.9885407645163,0.8509885407645164
CAF960,國三S175K,,,24.253246,120.58152,24.251494,120.589683,850.1971996920117,0.8501971996920117
CAF980,國三N183K,,,24.19538,120.562148,24.193628,120.570311,850.5633224059096,0.8505633224059096
CAH010,國三N223K,,,23.956874,120.654227,23.955116,120.662376,850.8319500773036,0.8508319500773036
CAJ010,國三N252K,,,23.775877,120.632472,23.77412,120.64061,850.8441487164689,0.850844148716469
CAE080,國三S140K,,,24.524106,120.716822,24.522345,120.725006,850.770287227305,0.850770287227305
CAE090,國三S156K,,,24.399738,120.66131,24.39798,120.669487,850.799720313847,0.8507997203138471
CAF060,國三S168K,,,24.310274,120.606299,24.308519,120.614471,850.7998076830154,0.8507998076830154
CAG060,國三S202K,,,24.094222,120.595098,24.092468,120.603256,850.7583048869725,0.8507583048869725
CAH020,國三S217K,,,24.008587,120.645062,24.00683,120.653214,850.7794655151512,0.8507794655151512
CAF090,國四E5K,,,24.298221,120.634964,24.296465,120.643135,850.8032553096981,0.8508032553096981
CAA090,國三甲005K,,,25.003726,121.589277,25.00194,121.5975,852.1335139855098,0.8521335139855098
CAC020,國二E009K,,,25.020014,121.265475,25.018244,121.273697,851.5156302545098,0.8515156302545098
CAB050,國三N002K,,,25.147619,121.713466,25.14583,121.7217,852.3416631206649,0.8523416631206648
CAB030,國三S004K,,,25.116228,121.680369,25.11444,121.6886,852.2291592794671,0.8522291592794671
CAB040,國三S007K,,,25.098727,121.65957,25.09694,121.6678,852.2206507844157,0.8522206507844158
CAA030,國三S010K,,,25.081787,121.639272,25.08,121.6475,852.1363487414011,0.8521363487414011
CAA040,國三S016K,,,25.034846,121.607575,25.03306,121.6158,852.1252177997804,0.8521252177997805
CAA050,國三S037K,,,24.984141,121.462821,24.982361,121.471042,851.9106291981644,0.8519106291981644
CAA060,國三S042K,,,24.961778,121.422381,24.96,121.4306,851.8093859735943,0.8518093859735943
